arm,flops_frames,flops_keep_rate,gflops_attn_per_frame,gflops_matmul_per_frame,gflops_per_frame,gflops_per_frame_analytic,gpu_peak_gb,keep_rate,keep_rate_sd,kv_gb_per_hour,kv_gb_per_hour_analytic,kv_gb_per_hour_offloaded,kv_mib_per_frame,lm_attn_gflops_per_frame_analytic,lm_linear_gflops_per_frame_analytic,n_streams,reached_steady_state,throughput_fps,throughput_fps_sd,tokens_per_frame,vision_gflops_per_frame_analytic,gflops_is_measured,kv_vs_baseline,speedup_vs_baseline,gflops_vs_baseline
baseline,64,,1196.582797312,3438.1912227840003,4634.774020096,4403.614241792,19.31984519958496,1.0,0.0,37.68310546875,37.68310546875,37.68310546875,10.71875,1180.13952,2557.9130716160003,1,True,8.23311650636544,0.0,196.0,665.561650176,True,1.0,1.0,1.0
rlt@0.1,64,0.8637595663265306,1028.31334144,3048.4290723840004,4076.7424138240003,3824.0253731225594,19.32734489440918,0.8449489795918367,0.0,31.7794189453125,31.840301513671875,31.7794189453125,9.039479166666666,997.1576831999998,2161.30603974656,1,True,9.26309841962168,0.0,165.60999999999999,665.561650176,True,1.1857707509881423,1.125102312406233,1.1368817427315854
rlt@0.2,64,0.7299107142857143,934.8303104,2831.8945443840003,3766.7248547840004,3419.6736127658664,19.32734489440918,0.7367772108843538,0.0,27.7598876953125,27.764053344726562,27.7598876953125,7.896145833333334,869.499904,1884.6120585898668,1,True,10.303088265807094,0.0,144.40833333333333,665.561650176,True,1.3574660633484164,1.251420195237278,1.230451970551955
rlt@0.3,64,0.5957429846938775,635.6846110719999,2138.984054784,2774.6686658559997,2979.6259930521596,19.32696533203125,0.6190561224489796,0.0,23.30072021484375,23.32795715332031,23.30072021484375,6.627760416666667,730.5725951999999,1583.49174767616,1,True,11.440037389004951,0.0,121.335,665.561650176,True,1.6172506738544474,1.3895148186182085,1.6703882799159906
rlt@0.4,64,0.4876434948979592,523.504973824,1879.1426211839998,2402.6475950080003,2478.89859104768,19.3253173828125,0.4851020408163265,0.0,18.27630615234375,18.2801513671875,18.27630615234375,5.19859375,572.4880896,1240.8488512716801,1,True,13.673565533871075,0.0,95.08,665.561650176,True,2.0618556701030926,1.6608006850503512,1.929027806543792
rlt@0.5,64,0.3394451530612245,430.02194278400003,1662.608093184,2092.630035968,1934.4016446668802,19.325664520263672,0.3394387755102041,0.0,12.74945068359375,12.791107177734377,12.74945068359375,3.6265104166666666,400.58511360000006,868.2548808908803,1,True,17.361798264236363,0.0,66.53000000000002,665.561650176,True,2.955665024630542,2.1087759721137282,2.2148081316017554
rlt@0.6,64,0.22361288265306126,336.538911744,1446.073565184,1782.612476928,1443.9411728247464,19.324028968811035,0.2082312925170068,0.0,7.787841796875,7.8468017578125,7.787841796875,2.2152083333333334,245.74197759999998,532.6375450487467,1,True,23.071433651576637,0.0,40.81333333333333,665.561650176,True,4.838709677419355,2.802272217785202,2.59998966689786
rlt@0.7,0,,,,1084.8211202730665,1084.8211202730665,19.092988967895508,0.11215986394557824,0.0,4.20794677734375,4.226531982421875,0.0,1.1969270833333334,132.364288,286.8951820970667,1,False,29.039355250529752,0.0,21.983333333333334,665.561650176,False,8.955223880597014,3.5271400845691856,4.272385496080086
rlt@0.8,0,,,,872.96635392,872.96635392,18.382060050964355,0.05548469387755102,0.0,2.07257080078125,2.0908355712890625,0.0,0.58953125,65.47968,141.92502374400001,1,False,33.14796671668229,0.0,10.875,665.561650176,False,18.181818181818183,4.026174862344523,5.309224117612141
rlt@0.9,0,,,,761.01549314048,761.01549314048,18.006210327148438,0.025535714285714287,0.0,0.94207763671875,0.9622650146484374,0.0,0.26796875,30.135705599999998,65.31813736448001,1,False,34.774942742144276,0.0,5.005,665.561650176,False,40.0,4.2237884906958385,6.090249228658531
