frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.061141926096752286,16.35538923679929,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
1,1,0.015428563114255667,64.81484974294341,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
2,1,0.01503819995559752,66.49732035434067,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
3,1,0.014924590941518545,67.0035114475474,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
4,1,0.01485523208975792,67.31634981923033,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
5,1,0.06498175696469843,15.388934474998168,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
6,1,0.015904041938483715,62.87709777602231,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
7,1,0.015565249836072326,64.245676139583,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
8,1,0.015486558899283409,64.57212389811605,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
9,1,0.01542736403644085,64.81988741809089,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
10,1,0.01539928512647748,64.93807938399708,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,14287,58800,0.24297619047619048,none,,,,,0.16666666666666666,0,2016203264,3025825280
