frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.06145319086499512,16.272548030856093,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
1,1,0.060437673004344106,16.545971250880598,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
2,1,0.06122632813639939,16.33284291967028,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
3,1,0.06115533993579447,16.351801838561865,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
4,1,0.062374069122597575,16.032303392528046,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
5,1,0.06315495003946126,15.8340715870279,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
6,1,0.062043640995398164,16.11768722719176,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
7,1,0.06494426005519927,15.397819594064998,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
8,1,0.061958724865689874,16.13977695906001,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
9,1,0.060770510928705335,16.45534955552996,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
10,1,0.061752456007525325,16.193687905759365,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
11,1,0.06130615412257612,16.3115761266086,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
12,1,0.060240960912778974,16.600000810874665,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
13,1,0.061858942033723,16.165811556473766,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
14,1,0.0600640510674566,16.648893676467512,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
15,1,0.06060360814444721,16.50066770969353,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
16,1,0.06127527100034058,16.319797263637426,False,llava_ov_0.5b,15000,1.0,196,none,,,,,none,,,,,0.16666666666666666,1445068800,2016203264,3053288960
