frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.06196594005450606,16.137897676052145,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
1,1,0.015604271786287427,64.085015545472,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
2,1,0.015280698891729116,65.442032925684,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
3,1,0.01495868619531393,66.85079070067447,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
4,1,0.014853875152766705,67.32249932865085,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
5,1,0.06168166105635464,16.212274165028777,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
6,1,0.015237785875797272,65.62633233928929,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
7,1,0.015101340133696795,66.21928856291517,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
8,1,0.01505318796262145,66.43111097018775,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
9,1,0.014979368075728416,66.75849040790541,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
10,1,0.014954318990930915,66.8703135600125,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
11,1,0.014911965001374483,67.06024322802708,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
12,1,0.014926417963579297,66.99531008980294,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
13,1,0.06037946906872094,16.561921054023333,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
14,1,0.015085905091837049,66.28704038056675,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
15,1,0.01500414195470512,66.6482630608818,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
16,1,0.015211774036288261,65.73855209881913,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
17,1,0.015062877908349037,66.38837585251362,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
18,1,0.015035662101581693,66.50854436897754,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
19,1,0.015043795108795166,66.47258838398847,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
20,1,0.06346710701473057,15.756193200485761,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
21,1,0.016074172919616103,62.21159900424182,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
22,1,0.015057620825245976,66.4115540964729,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
23,1,0.015338015044108033,65.1974846239404,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
24,1,0.01576428790576756,63.43451768818163,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
25,1,0.06388851208612323,15.652266226704048,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
26,1,0.01640275795944035,60.96535731812501,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
27,1,0.016050467966124415,62.30347938206953,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
28,1,0.015110600972548127,66.17870472635268,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
29,1,0.014850315870717168,67.33863499643573,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
30,1,0.014780065976083279,67.65869662680628,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
31,1,0.014946807874366641,66.90391743878452,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
32,1,0.01579779712483287,63.299964678498135,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
33,1,0.06260866485536098,15.972230078859015,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
34,1,0.016421652864664793,60.89521001578013,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
35,1,0.015763909090310335,63.43604205473844,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
36,1,0.015228176955133677,65.66774230075407,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
37,1,0.015114916954189539,66.15980776016245,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
38,1,0.01496626902371645,66.81691999624888,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
39,1,0.06000969186425209,16.66397491695341,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
40,1,0.015020596096292138,66.57525397722743,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
41,1,0.014912623912096024,67.05728018721598,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
42,1,0.014857899164780974,67.30426616236504,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
43,1,0.014860016060993075,67.29467827595143,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
44,1,0.0587959960103035,17.007960879253726,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
45,1,0.014922042144462466,67.01495615136683,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
46,1,0.014916955027729273,67.03781020597637,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
47,1,0.014925171853974462,67.00090355969385,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
48,1,0.06204132898710668,16.11828786272161,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
49,1,0.01549258385784924,64.54701224633713,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
50,1,0.018673686776310205,53.55128914706972,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
51,1,0.015165997901931405,65.93697338390433,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
52,1,0.015469342935830355,64.64398676454337,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
53,1,0.01575047615915537,63.49014403724705,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
54,1,0.06437042285688221,15.535085146533012,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
55,1,0.017330539179965854,57.7016092584126,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
56,1,0.06690301396884024,14.947009718661482,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
57,1,0.015302535146474838,65.34864912434882,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
58,1,0.015092696063220501,66.25721447057475,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
59,1,0.014930933015421033,66.97505098758232,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
60,1,0.061189051950350404,16.34279283835633,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
61,1,0.015097951982170343,66.23414892171681,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
62,1,0.014999615959823132,66.66837355559812,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
63,1,0.014900377951562405,67.11239159508321,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
64,1,0.060515564866364,16.524674308308803,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
65,1,0.015050436835736036,66.44325416692102,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
66,1,0.014980148058384657,66.75501444328397,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
67,1,0.06336771696805954,15.780906238172497,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
68,1,0.015250566881150007,65.57133303916848,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
69,1,0.01501658302731812,66.59304571358233,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
70,1,0.014987370930612087,66.72284316106933,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
71,1,0.0610608640126884,16.377102030397094,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
72,1,0.015620407881215215,64.0188148481436,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
73,1,0.015427880920469761,64.81771574171258,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
74,1,0.0150037941057235,66.64980823873941,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
75,1,0.015187927056103945,65.84176999968574,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
76,1,0.014891969040036201,67.15028733349885,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
77,1,0.014886086108163,67.1768249044076,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
78,1,0.05827972502447665,17.15862591287132,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
79,1,0.01490565505810082,67.08863153629247,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
80,1,0.014877398032695055,67.21605470273548,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
81,1,0.014932082034647465,66.96989727753055,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
82,1,0.014847805025056005,67.3500223307403,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
83,1,0.0148494360037148,67.34262498251351,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
84,1,0.058846033876761794,16.993498696857774,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
85,1,0.014927037060260773,66.9925314691039,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
86,1,0.014838034054264426,67.39437288948677,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
87,1,0.015039796940982342,66.49025940470469,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
88,1,0.014864369994029403,67.27496694455748,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
89,1,0.06380103388801217,15.673727196259337,False,llava_ov_0.5b,15000,1.0,196,rlt,0.5,23106,117600,0.1964795918367347,none,,,,,0.16666666666666666,281788416,2016203264,3054379008
