fps,tags,n_questions,qa_acc,qa_acc_resolvable,n_resolvable,layers_hit_frac_mean,retrieved_frac_of_memory,token_keep_rate,qa_acc_needle_found,qa_acc_needle_lost,dir
1.0,,990,28.99,,0,,,,,,64-1.0
2.0,,990,27.98,,0,,,,,,64-2.0
4.0,,990,28.08,31.33,249,1.0,,,50.0,,64-4.0
8.0,,990,28.69,29.39,820,1.0,,,29.26,,64-8.0
16.0,,990,28.59,28.88,973,1.0,,,28.86,,64-16.0
32.0,,990,28.69,28.69,990,1.0,,,28.7,,64-32.0
1.0,-rlt_ref0.5cosine,990,27.78,,0,,,0.3184,,,64-1.0-rlt_ref0.5cosine
2.0,-rlt_ref0.5cosine,990,27.58,,0,,,0.2313,,,64-2.0-rlt_ref0.5cosine
4.0,-rlt_ref0.5cosine,990,27.58,32.53,249,,,0.1696,,,64-4.0-rlt_ref0.5cosine
8.0,-rlt_ref0.5cosine,990,28.28,28.66,820,,,0.1235,,,64-8.0-rlt_ref0.5cosine
16.0,-rlt_ref0.5cosine,990,28.38,28.67,973,,,0.0868,,,64-16.0-rlt_ref0.5cosine
32.0,-rlt_ref0.5cosine,990,29.7,29.7,990,,,0.0552,,,64-32.0-rlt_ref0.5cosine
1.0,-rlt_ref0.9cosine,990,27.47,,0,,,0.1402,,,64-1.0-rlt_ref0.9cosine
2.0,-rlt_ref0.9cosine,990,26.77,,0,,,0.073,,,64-2.0-rlt_ref0.9cosine
4.0,-rlt_ref0.9cosine,990,26.87,30.92,249,,,0.0391,,,64-4.0-rlt_ref0.9cosine
8.0,-rlt_ref0.9cosine,990,27.68,27.56,820,,,0.0219,,,64-8.0-rlt_ref0.9cosine
16.0,-rlt_ref0.9cosine,990,27.68,27.65,973,,,0.013,,,64-16.0-rlt_ref0.9cosine
32.0,-rlt_ref0.9cosine,990,27.27,27.27,990,,,0.0076,,,64-32.0-rlt_ref0.9cosine
