frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.0634509960655123,15.760193882023751,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
1,1,0.016717810882255435,59.81644409325247,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
2,1,0.01668417709879577,59.93702860371686,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
3,1,0.016361089190468192,61.12062518322986,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
4,1,0.06243662186898291,16.016241271002798,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
5,1,0.016511466121301055,60.563973704910644,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
6,1,0.016260239062830806,61.49971080596808,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
7,1,0.016202082857489586,61.72045957274804,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
8,1,0.016129178926348686,61.999436212242415,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
9,1,0.01611117785796523,62.06870837228132,False,llava_ov_0.5b,15000,0.5,196,rlt,0.5,34356,156800,0.21910714285714286,none,,,,,0.4444444444444444,423886848,2016203264,3131590144
