frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.06352454493753612,15.741946691366355,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
1,1,0.016185331158339977,61.784339796144366,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
2,1,0.016108701936900616,62.078248385071575,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
3,1,0.015516556100919843,64.44729059051438,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
4,1,0.0155751989223063,64.20463744882463,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
5,1,0.015659990953281522,63.85699729861286,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
6,1,0.06305960286408663,15.858012968386687,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
7,1,0.01574471197091043,63.51338797734612,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
8,1,0.015313625102862716,65.30132436199322,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
9,1,0.01578171504661441,63.36446939044982,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
10,1,0.015627670101821423,63.98906513156103,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
11,1,0.015350630972534418,65.14390201869976,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
12,1,0.01528432802297175,65.42649428205408,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
13,1,0.0634269779548049,15.766161848552098,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
14,1,0.015519075095653534,64.43682976185046,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
15,1,0.01561200083233416,64.05328892430563,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
16,1,0.015243571950122714,65.60142224355425,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
17,1,0.014899489004164934,67.11639571803198,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
18,1,0.014875814085826278,67.22321173352141,False,llava_ov_0.5b,15000,2.0,196,rlt,0.5,12373,78400,0.15781887755102042,none,,,,,0.05555555555555555,0,2016203264,2984201216
