frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.07848129188641906,12.741890149403197,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
1,1,0.017095621908083558,58.49450844061755,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
2,1,0.01660909503698349,60.20797627885799,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
3,1,0.0768936441745609,13.004976038459558,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
4,1,0.016941146925091743,59.02788072269697,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
5,1,0.07655256404541433,13.062919739785022,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
6,1,0.01754867099225521,56.984372232024405,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
7,1,0.01681903889402747,59.45642948451146,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
8,1,0.07720457506366074,12.952600272398726,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
9,1,0.017303066793829203,57.79322312716439,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
10,1,0.017288033850491047,57.84347767063148,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
11,1,0.016970703145489097,58.925077613287066,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
12,1,0.01714822999201715,58.315056449879684,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
13,1,0.07444635103456676,13.432491802528807,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
14,1,0.01737720496021211,57.54665392332426,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
15,1,0.016711147036403418,59.84029688815547,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
16,1,0.022660389076918364,44.12986893585996,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
17,1,0.03054460883140564,32.739001685030935,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
18,1,0.029772454872727394,33.5880935675222,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
19,1,0.08133187307976186,12.295302716307834,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
20,1,0.01760773197747767,56.793231591616454,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
21,1,0.017001780914142728,58.817367724587136,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
22,1,0.017170815961435437,58.23835059707917,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
23,1,0.075917380861938,13.172214170804736,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
24,1,0.01819421793334186,54.96251631500178,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
25,1,0.01816686219535768,55.04527910469524,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
26,1,0.016685054171830416,59.93387793060405,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
27,1,0.016825550934299827,59.433417895484425,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
28,1,0.07550108502618968,13.244842768194944,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
29,1,0.017493964871391654,57.16257048368301,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
30,1,0.016909579979255795,59.13807446588102,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
31,1,0.07207877514883876,13.873709672993947,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
32,1,0.017405941151082516,57.45164776325856,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
33,1,0.016766324173659086,59.643365453416486,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
34,1,0.0725670768879354,13.780353886160935,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
35,1,0.01699056406505406,58.85619783846878,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
36,1,0.01690038200467825,59.17026015880509,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
37,1,0.016957333078607917,58.97153729093899,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
38,1,0.01707709487527609,58.55796944993156,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
39,1,0.07468135794624686,13.390222506663129,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
40,1,0.017225777031853795,58.05253360419135,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
41,1,0.07362209120765328,13.582879589489933,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
42,1,0.01713757705874741,58.35130582182136,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
43,1,0.01656897901557386,60.353748958222425,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
44,1,0.01647950313054025,60.68144118658368,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
45,1,0.07435397990047932,13.449179201146617,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
46,1,0.01731530507095158,57.75237547951813,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
47,1,0.017122318968176842,58.40330400680992,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
48,1,0.01732331491075456,57.72567231801494,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
49,1,0.0807115479838103,12.389800777957909,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
50,1,0.022226393222808838,44.991555308838635,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
51,1,0.02253689686767757,44.371681064672245,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
52,1,0.07522220490500331,13.29394693046928,False,llava_ov_7b,15000,2.0,196,rlt,0.5,21367,78400,0.27253826530612246,none,,,,,0.05555555555555555,1225097216,16588876288,20748741632
