frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.06150720198638737,16.258258670607674,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
1,1,0.012067625066265464,82.86634648564429,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
2,1,0.011419181944802403,87.57194734559455,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
3,1,0.011450057849287987,87.33580329135056,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
4,1,0.011431830003857613,87.4750586443776,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
5,1,0.011437661945819855,87.43045604398826,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
6,1,0.011506785172969103,86.9052463366681,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
7,1,0.011385930003598332,87.82769608490187,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
8,1,0.011401448864489794,87.7081511205593,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
9,1,0.011460484005510807,87.25634968986887,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
10,1,0.0115106210578233,86.87628538690714,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
11,1,0.011443488067016006,87.38594335431148,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
12,1,0.011484631104394794,87.07288818509221,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
13,1,0.011464278912171721,87.22746608496166,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
14,1,0.01140701794065535,87.66533069400506,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
15,1,0.011431676102802157,87.4762362935456,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
16,1,0.011407443089410663,87.66206345822432,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
17,1,0.01148725999519229,87.05296131701776,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
18,1,0.011429225094616413,87.49499565557046,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
19,1,0.011401761090382934,87.70574932003022,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
20,1,0.011623895028606057,86.02968260974743,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
21,1,0.01146390801295638,87.23028821147301,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
22,1,0.011495406972244382,86.99126550408319,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
23,1,0.011420274851843715,87.56356681192815,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
24,1,0.01142653706483543,87.51557837041003,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
25,1,0.01145844697020948,87.2718617627567,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
26,1,0.01142152794636786,87.55395991637076,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
27,1,0.011399418115615845,87.72377588555324,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
28,1,0.011394987115636468,87.75788773185856,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
29,1,0.011455100029706955,87.29736077438531,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
30,1,0.011393886990845203,87.76636110253536,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
31,1,0.011412712978199124,87.62158497372424,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
32,1,0.01141451788134873,87.60772994486219,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
33,1,0.011399690993130207,87.7216760175894,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
34,1,0.01137251895852387,87.9312669116709,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
35,1,0.011362503981217742,88.00877004338159,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
36,1,0.01140875811688602,87.65195911375378,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1366,78400,0.017423469387755103,none,,,,,0.05555555555555555,0,16588876288,19149456384
