frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.07269144605379552,13.756776818828822,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
1,1,0.015470409067347646,64.63953187318316,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
2,1,0.015228495001792908,65.66637083193488,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
3,1,0.015032030991278589,66.52461005303864,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
4,1,0.015287415008060634,65.41328272129248,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
5,1,0.07160973106510937,13.964582538241553,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
6,1,0.01521013502497226,65.74563594328275,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
7,1,0.015032988041639328,66.52037487358709,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
8,1,0.01488097000401467,67.19992041716463,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
9,1,0.07257795403711498,13.778288645180314,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
10,1,0.015251309028826654,65.56814225650335,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
11,1,0.015071928035467863,66.34851212444487,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
12,1,0.014906864031217992,67.08319052926205,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
13,1,0.014813604997470975,67.50551268045308,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
14,1,0.014810747001320124,67.51853906564384,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
15,1,0.014795458992011845,67.58830534016592,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
16,1,0.01510924706235528,66.18463487115133,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
17,1,0.014744117041118443,67.82366127528672,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
18,1,0.014827472041361034,67.44237974015486,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
19,1,0.014861607109196484,67.28747386823272,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
20,1,0.0730743280146271,13.684696488756387,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
21,1,0.015297141973860562,65.37168849637267,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
22,1,0.015116170980036259,66.15431919370903,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
23,1,0.014847256010398269,67.35251276731879,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
24,1,0.014794500079005957,67.59268611036366,False,llava_ov_7b,15000,2.0,196,rlt,0.6,12607,78400,0.16080357142857143,none,,,,,0.05555555555555555,0,16588876288,20435149312
