frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.07217043708078563,13.856089008864213,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
1,1,0.015706958016380668,63.666051628654486,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
2,1,0.01562632597051561,63.994569285629964,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
3,1,0.015658802934922278,63.8618420677483,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
4,1,0.01543345395475626,64.79431000549435,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
5,1,0.015430708997882903,64.80583621512143,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
6,1,0.015439535956829786,64.76878597880676,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
7,1,0.015388677944429219,64.9828402161087,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
8,1,0.015412959037348628,64.88046828495446,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
9,1,0.0159685630351305,62.6230423989949,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
10,1,0.01558010489679873,64.18442023490302,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
11,1,0.015594329917803407,64.12587172843772,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
12,1,0.016067981952801347,62.23556903022639,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
13,1,0.015802384936250746,63.2815871802993,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
14,1,0.01561196695547551,64.05342791538992,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
15,1,0.01560535910539329,64.08055035749834,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
16,1,0.015380852040834725,65.01590401787193,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
17,1,0.015448407968506217,64.73158930283577,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
18,1,0.015280656050890684,65.44221639892953,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
19,1,0.015381110017187893,65.01481355263257,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
20,1,0.015417595976032317,64.86095507720962,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
21,1,0.015618663979694247,64.02596286725263,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
22,1,0.015569341951049864,64.22879034605367,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
23,1,0.01552524697035551,64.41121367727274,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
24,1,0.015447104000486434,64.73705362302925,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
25,1,0.016208991990424693,61.694151036087895,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
26,1,0.015849417075514793,63.093803086604666,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
27,1,0.01560068700928241,64.09974121043516,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
28,1,0.015525361057370901,64.4107403560341,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
29,1,0.01542539696674794,64.8281533470853,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
30,1,0.015437448979355395,64.77754202377004,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
31,1,0.015445054043084383,64.74564590130107,False,llava_ov_7b,15000,2.0,196,rlt,0.9,1399,78400,0.01784438775510204,none,,,,,0.05555555555555555,0,16588876288,19185051648
