frame_idx,num_frames,seconds,fps,local_window_full,model,n_local,sample_fps,n_frame_tokens,prune_method,prune_threshold,tokens_kept,tokens_seen,keep_rate,vision_method,vision_threshold,vision_patches_kept,vision_patches_seen,vision_keep_rate,video_hours,kv_cache_bytes,gpu_weights_bytes,gpu_peak_bytes
0,1,0.05278148502111435,18.94603760390536,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
1,1,0.013357333838939667,74.86523972956134,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
2,1,0.011418954003602266,87.57369542644065,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
3,1,0.011397280963137746,87.74022534272012,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
4,1,0.011422568000853062,87.54598790090967,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
5,1,0.011343196965754032,88.15856790806643,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
6,1,0.011374861001968384,87.91316217639522,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
7,1,0.011374002089723945,87.91980097343826,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
8,1,0.01133307395502925,88.2373135451245,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
9,1,0.011259444989264011,88.81432441417047,False,llava_ov_0.5b,15000,2.0,196,rlt,0.9,323,235200,0.0013732993197278912,none,,,,,0.16666666666666666,0,2016203264,2682698752
